code_module,code_presentation,id_student,date_registration,date_unregistration
AAA,2013J,11391,-159,
AAA,2013J,28400,-53,
AAA,2013J,31604,-52,
AAA,2013J,32885,-176,
AAA,2013J,38053,-110,
AAA,2013J,45462,-67,
AAA,2013J,45642,-29,
AAA,2013J,52130,-33,
AAA,2013J,53025,-179,
AAA,2013J,57506,-103,
AAA,2013J,58873,-47,
AAA,2013J,59185,-59,
AAA,2013J,62155,-68,
AAA,2013J,63400,-67,
AAA,2013J,70464,-95,
AAA,2013J,71361,-130,
AAA,2013J,74372,-50,
AAA,2013J,75091,-107,
AAA,2013J,77367,-27,
AAA,2013J,91265,-31,
AAA,2013J,98094,-107,
AAA,2013J,100893,-62,
AAA,2013J,101781,-103,
AAA,2013J,102806,-107,
AAA,2013J,102952,-100,
AAA,2013J,104476,-109,
AAA,2013J,106577,-107,
AAA,2013J,110175,-110,
AAA,2013J,111717,-43,
AAA,2013J,113295,-26,
AAA,2013J,114017,-29,
AAA,2013J,114999,-68,
AAA,2013J,116541,-68,
AAA,2013J,116692,-32,
AAA,2013J,118983,-99,
AAA,2013J,123044,-82,
AAA,2013J,127582,-31,
AAA,2013J,132976,-75,
AAA,2013J,134143,-96,
AAA,2013J,137873,-195,
AAA,2013J,141355,-61,
AAA,2013J,142326,-37,
AAA,2013J,144801,-67,
AAA,2013J,145130,-36,
AAA,2013J,146188,-132,
AAA,2013J,147756,-92,
AAA,2013J,151358,-44,
AAA,2013J,155550,-16,
AAA,2013J,155854,-54,
AAA,2013J,157568,-52,
AAA,2013J,164259,-64,
AAA,2013J,167906,-117,
AAA,2013J,168936,-32,
AAA,2013J,172112,-50,
AAA,2013J,172797,-45,
AAA,2013J,174782,-162,
AAA,2013J,175392,-195,
AAA,2013J,175932,-92,
AAA,2013J,175991,-57,
AAA,2013J,180753,-64,
AAA,2013J,183096,-128,
AAA,2013J,183947,-32,
AAA,2013J,184271,-74,
AAA,2013J,185439,-12,
AAA,2013J,186149,-109,
AAA,2013J,187100,-136,
AAA,2013J,189879,-180,
AAA,2013J,192183,-62,
AAA,2013J,200860,-54,
AAA,2013J,205350,-68,
AAA,2013J,205719,-51,
AAA,2013J,227499,-169,
AAA,2013J,227517,-172,
AAA,2013J,228082,-31,
AAA,2013J,228222,-108,
AAA,2013J,229179,-165,
AAA,2013J,229361,-58,
AAA,2013J,231554,-29,
AAA,2013J,236284,2,
AAA,2013J,238007,-151,
AAA,2013J,240712,-45,
AAA,2013J,240884,-47,
AAA,2013J,241649,-50,
AAA,2013J,241729,-31,
AAA,2013J,242793,-36,
AAA,2013J,246834,-16,
AAA,2013J,248270,-198,
AAA,2013J,255548,-103,
AAA,2013J,256815,-117,
AAA,2013J,258392,-68,
AAA,2013J,258894,-172,
AAA,2013J,262011,-145,
AAA,2013J,262934,-191,
AAA,2013J,268073,-33,
AAA,2013J,271251,-68,
AAA,2013J,279572,-138,
AAA,2013J,281022,-74,
AAA,2013J,281250,-64,
AAA,2013J,281589,-50,
AAA,2013J,282821,-107,
AAA,2013J,286488,-8,
AAA,2013J,287548,-52,
AAA,2013J,290201,-96,
AAA,2013J,290757,-141,
AAA,2013J,291334,-132,
AAA,2013J,293699,-27,
AAA,2013J,294570,-80,
AAA,2013J,294594,-145,
AAA,2013J,295741,-17,
AAA,2013J,296332,-115,
AAA,2013J,298696,-32,
AAA,2013J,300398,-59,
AAA,2013J,302302,-83,
AAA,2013J,305152,-18,
AAA,2013J,305386,-66,
AAA,2013J,306107,-107,
AAA,2013J,306466,-58,
AAA,2013J,306897,-123,
AAA,2013J,307061,-31,
AAA,2013J,307866,-107,
